,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
accommodates,0.3891878342135643,0.14602129119384713,-0.07665044294301983,0.015149607623942622,-0.21423220422262043,0.11598617469522315,-0.023067528165439694,0.04791916692370101,0.0383955195781089,0.0021341509253461496,0.09488010232904093,-0.04683600083621439,0.020979057383211284,-0.062092833121613726,-0.1310945143602148,-0.11946030167404355,0.07204708980739413,-0.25671122670310703,-0.015619237503545864,0.2950299529775346
bedrooms,0.3700008619443551,0.17696677876954453,-0.12597827704018122,0.01983612556105631,-0.20897545651577415,0.1497788366511562,-0.010358144025615058,-0.03133047567720394,0.01253600739460275,0.05834396983464167,0.043094377404973086,-0.0001275160181612861,-0.01608631875318265,0.036049836838086484,-0.014955777614345255,-0.04022904614289022,-0.08718499670235494,0.11782717520688177,0.061653854523715745,0.6085708230649199
beds,0.3486046430214905,0.120415995415119,-0.012139549500490714,0.011831856661434678,-0.20926842282237745,0.10417501343119817,-0.026656693955282366,0.10532365512441878,0.06979429674840831,0.12271763342100979,0.1748754129165224,-0.0181144679396407,0.012335856079084917,-0.049319794950246264,-0.4098912431476058,-0.2481052563507673,0.1932965756969531,-0.2452942072543993,0.00034159809792136083,-0.5384082762025935
minimum_minimum_nights,-0.11478345661174266,0.4386239386958231,0.3494623055638372,-0.009889122592603905,-0.02186685836821179,0.012898623374378918,0.018815545951806723,-0.019695794982999632,0.004857486766247896,-0.05484396048795034,0.05208431556120352,0.05064647610335918,-0.0032243173593930106,0.007801630343084003,0.022406779359956115,0.020513855399633605,-0.005997250853566901,-0.04702285456207779,-0.07408098715329027,0.04248737278286091
maximum_minimum_nights,-0.09950703920660701,0.41945208275132967,0.3419378407514132,-0.010370902528665757,-0.009114654302749697,0.01723629728894884,0.006484618759039899,0.019837519167485666,0.01649254745266239,0.00011446654798307367,-0.043095908937642535,-0.01746371742252549,0.0015041960023059063,-0.012894772850419126,0.02518794015843105,-0.0018843027234300138,0.002635730447324887,0.039398134905649196,0.12676803127269992,-0.0450747815937289
minimum_maximum_nights,-0.002381357550179657,-0.01375872146861899,0.031446533610136274,0.44126983925210816,0.023945516491002256,0.044617193612393614,-0.019649374726044146,-0.009436715977907432,0.007163186752629968,0.006918983451323966,0.0069662446227523695,0.009206081917959102,0.8326529073285481,0.3200969694416045,0.005319668473542371,0.0008833938452256984,0.007239122422010564,-0.005295350470321115,0.021564950764699525,-0.002126178889430688
maximum_maximum_nights,-0.004578218890790394,-0.01581145355470035,0.0370131854531269,0.6244968903351938,0.028190149804618318,0.007391932701479989,-0.001579833174343291,0.0005666152127104261,-0.0010349256413452338,0.0007801880821681719,0.0009267351719945124,-0.003608530816003326,-0.33464761886115535,-0.13602681161436692,-0.0006522422418293949,-0.004954559288491099,0.0003406485417226068,0.005076322008482102,-0.008193799249788532,-7.349073331101845e-05
minimum_nights_avg_ntm,-0.11502168538670891,0.4501467493304412,0.37367593839149515,-0.011198453746251861,-0.023321581483152325,0.016097773612579046,0.01675884916847316,-0.011015915271508778,0.00801803900241391,-0.050817181630693604,0.04615214710303048,0.047902552761676126,-0.0041406345204263615,0.0075692550937686304,0.03091567396949998,0.01536280229327532,-0.0037138411525546866,-0.04283781801012075,-0.043185521202500785,0.020237900239002026
maximum_nights_avg_ntm,-0.004258638921731013,-0.01612059422400097,0.038409513383034756,0.6380908598832215,0.028862640419723796,0.010907707691419423,-0.005896756654983418,9.294693556759388e-05,-0.004538552337581735,0.0022555099076254355,0.0007024154396024415,-0.004583788669517716,-0.24653704223866832,-0.10127415127162019,-0.0009438890459221553,-0.003474262027267892,-0.0029361475874777336,0.002983448763891746,-0.004874619933486203,0.0019916142111057827
number_of_reviews,0.03726766350971561,-0.26200355677154813,0.3545274595110854,-0.0174969428192562,-0.26014131870961754,0.18076854592239108,0.024661918635969553,-0.1263489814764635,-0.08236590000175277,0.014332503564861883,-0.13630080214355492,-0.07833927556349403,0.027906716685230506,-0.054280813183863366,-0.28161832051172103,0.3976706305666957,0.2719969429652849,0.21019721730848787,-0.16441471526869017,0.032968585566101036
